#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321A1A159,,
#Date Time: 2021-04-06 15:43:00.687,,
#Sample rate: 4000Hz,,
#Samples: 8000,,
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 200 mV Hyst.: Auto HoldOff: 0 s,,
#Channel 2: Range: 500 mV/div Offset: -1 V,,
#Math 1: Function: -1*C1,,
,,
Time (s),Channel 2 (V),Math 1 (V)
0.45175,1.038169412,6.724408183
0.452,1.038169412,6.734495964
0.45225,1.038169412,6.747946338
0.4525,1.038169412,6.758034118
0.45275,1.038169412,6.771484492
0.453,1.038169412,6.784934866
0.45325,1.038169412,6.79838524
0.4535,1.038169412,6.808473021
0.45375,1.038169412,6.818560802
0.454,1.038169412,6.832011176
0.45425,1.038169412,6.85554933
0.4545,1.034810839,6.875724891
0.45475,1.034810839,6.889175266
0.455,1.034810839,6.899263046
0.45525,1.034810839,6.916076014
0.4555,1.034810839,6.926163794
0.45575,1.034810839,6.936251575
0.456,1.038169412,6.942976762
0.45625,1.034810839,6.966514917
0.4565,1.028093694,6.986690478
0.45675,1.028093694,6.996778258
0.457,1.028093694,7.000140852
0.45725,1.028093694,7.000140852
0.4575,1.028093694,6.990053071
0.45775,1.028093694,6.986690478
0.458,1.028093694,6.986690478
0.45825,1.028093694,7.000140852
0.4585,1.028093694,7.016953819
0.45875,1.028093694,7.033766787
0.459,1.021376549,7.050579755
0.45925,1.021376549,7.060667535
0.4595,1.021376549,7.08420569
0.45975,1.018017977,7.134644593
0.46,1.011300831,7.205259057
0.46025,1.011300831,7.225434618
0.4605,1.007942259,7.242247585
0.46075,1.011300831,7.259060553
0.461,1.011300831,7.279236114
0.46125,1.007942259,7.292686488
0.4615,1.007942259,7.309499456
0.46175,1.011300831,7.326312423
0.462,1.011300831,7.336400204
0.46225,1.011300831,7.349850578
0.4625,1.007942259,7.363300952
0.46275,1.011300831,7.376751326
0.463,1.011300831,7.386839107
0.46325,1.011300831,7.393564294
0.4635,1.011300831,7.407014668
0.46375,1.004583686,7.427190229
0.464,1.007942259,7.44736579
0.46425,1.007942259,7.467541351
0.4645,1.007942259,7.480991725
0.46475,1.014659404,7.487716912
0.465,1.021376549,7.491079506
0.46525,1.024735122,7.487716912
0.4655,1.024735122,7.477629132
0.46575,1.028093694,7.464178758
0.466,1.031452267,7.44736579
0.46625,1.031452267,7.433915416
0.4665,1.031452267,7.444003197
0.46675,1.034810839,7.464178758
0.467,1.034810839,7.474266538
0.46725,1.034810839,7.484354319
0.4675,1.041527984,7.487716912
0.46775,1.041527984,7.497804693
0.468,1.041527984,7.528068035
0.46825,1.038169412,7.598682498
0.4685,1.034810839,7.645758808
0.46875,1.038169412,7.662571775
0.469,1.038169412,7.676022149
0.46925,1.038169412,7.696197711
0.4695,1.038169412,7.716373272
0.46975,1.038169412,7.729823646
0.47,1.038169412,7.736548833
0.47025,1.038169412,7.746636613
0.4705,1.038169412,7.760086987
0.47075,1.038169412,7.770174768
0.471,1.038169412,7.786987736
0.47125,1.038169412,7.80043811
0.4715,1.034810839,7.820613671
0.47175,1.034810839,7.837426638
0.472,1.034810839,7.850877013
0.47225,1.031452267,7.860964793
0.4725,1.038169412,7.871052574
0.47275,1.038169412,7.877777761
0.473,1.031452267,7.901315915
0.47325,1.028093694,7.928216664
0.4735,1.031452267,7.938304444
0.47375,1.028093694,7.941667038
0.474,1.028093694,7.934941851
0.47425,1.028093694,7.931579257
0.4745,1.028093694,7.921491476
0.47475,1.028093694,7.931579257
0.475,1.028093694,7.955117412
0.47525,1.028093694,7.968567786
0.4755,1.028093694,7.978655566
0.47575,1.021376549,7.99210594
0.476,1.021376549,8.005556315
0.47625,1.021376549,8.045907437
0.4765,1.014659404,8.113159307
0.47675,1.011300831,8.170323397
0.477,1.011300831,8.183773771
0.47725,1.011300831,8.197224145
0.4775,1.007942259,8.214037113
0.47775,1.007942259,8.227487487
0.478,1.007942259,8.240937861
0.47825,1.007942259,8.254388235
0.4785,1.011300831,8.261113422
0.47875,1.011300831,8.271201203
0.479,1.007942259,8.27792639
0.47925,1.011300831,8.298101951
0.4795,1.011300831,8.314914918
0.47975,1.011300831,8.331727886
0.48,1.011300831,8.355266041
0.48025,1.011300831,8.375441602
0.4805,1.007942259,8.392254569
0.48075,1.007942259,8.398979756
0.481,1.007942259,8.412430131
0.48125,1.011300831,8.415792724
0.4815,1.018017977,8.415792724
0.48175,1.024735122,8.419155318
0.482,1.024735122,8.425880505
0.48225,1.024735122,8.425880505
0.4825,1.031452267,8.412430131
0.48275,1.031452267,8.40234235
0.483,1.031452267,8.40234235
0.48325,1.031452267,8.415792724
0.4835,1.034810839,8.429243098
0.48375,1.034810839,8.432605692
0.484,1.038169412,8.432605692
0.48425,1.041527984,8.439330879
0.4845,1.041527984,8.449418659
0.48475,1.041527984,8.496494969
0.485,1.038169412,8.57383462
0.48525,1.038169412,8.607460555
0.4855,1.038169412,8.624273522
0.48575,1.038169412,8.644449084
0.486,1.038169412,8.657899458
0.48625,1.038169412,8.667987238
0.4865,1.038169412,8.674712425
0.48675,1.038169412,8.688162799
0.487,1.038169412,8.69825058
0.48725,1.038169412,8.711700954
0.4875,1.038169412,8.725151328
0.48775,1.038169412,8.738601702
0.488,1.038169412,8.752052076
0.48825,1.034810839,8.772227637
0.4885,1.034810839,8.785678011
0.48875,1.034810839,8.802490979
0.489,1.034810839,8.815941353
0.48925,1.038169412,8.82266654
0.4895,1.038169412,8.839479508
0.48975,1.031452267,8.863017662
0.49,1.028093694,8.883193223
0.49025,1.031452267,8.889918411
0.4905,1.031452267,8.889918411
0.49075,1.028093694,8.896643598
0.491,1.028093694,8.903368785
0.49125,1.031452267,8.900006191
0.4915,1.031452267,8.906731378
0.49175,1.028093694,8.923544346
0.492,1.028093694,8.930269533
0.49225,1.024735122,8.93699472
0.4925,1.024735122,8.9470825
0.49275,1.021376549,8.960532874
0.493,1.018017977,9.000883997
0.49325,1.014659404,9.074861054
0.4935,1.011300831,9.121937363
0.49375,1.011300831,9.148838112
0.494,1.011300831,9.165651079
0.49425,1.011300831,9.17573886
0.4945,1.011300831,9.195914421
0.49475,1.011300831,9.206002202
0.495,1.011300831,9.219452576
0.49525,1.011300831,9.23290295
0.4955,1.011300831,9.249715917
0.49575,1.011300831,9.263166291
0.496,1.011300831,9.276616665
0.49625,1.011300831,9.293429633
0.4965,1.011300831,9.306880007
0.49675,1.011300831,9.320330381
0.497,1.007942259,9.343868536
0.49725,1.007942259,9.367406691
0.4975,1.011300831,9.380857065
0.49775,1.011300831,9.390944845
0.498,1.014659404,9.401032626
0.49825,1.021376549,9.407757813
0.4985,1.024735122,9.407757813
0.49875,1.028093694,9.404395219
0.499,1.028093694,9.390944845
0.49925,1.031452267,9.377494471
0.4995,1.034810839,9.374131878
0.49975,1.031452267,9.380857065
0.5,1.031452267,9.390944845
0.50025,1.034810839,9.404395219
0.5005,1.038169412,9.411120406
0.50075,1.041527984,9.417845593
0.501,1.041527984,9.438021154
0.50125,1.041527984,9.464921903
0.5015,1.041527984,9.535536367
0.50175,1.038169412,9.602788237
0.502,1.038169412,9.612876018
0.50225,1.038169412,9.622963798
0.5025,1.041527984,9.633051579
